address,lat,lng
1 e van buren st,41.876871275547344,-87.62756181663593
2000 s state st,41.85512899417162,-87.62717837431444
1800 w race,41.89166491215584,-87.67211060536378
400 w deming place,41.92963866224237,-87.63948143978294
10000 w ohare e lot,41.96637000000004,-87.84857999999996
400 e solidarity dr,41.86615367030538,-87.61420686026175
4000 n kedzie av,41.95398935898796,-87.70809935898797
700 n ridgeway,41.89385423397195,-87.71996669499094
1400 w taylor,41.869372493219316,-87.6618535284494
2400 n clark,41.92556629301182,-87.64055407104897
500 w roscoe,41.94334745325739,-87.64215163780369
3400 w 60th pl,41.783444453257374,-87.70828436081135
1100 n dearborn st,41.90207346572221,-87.62996883045734
1 n ada,41.88160408273919,-87.66049789271607
10000 s lowe,41.71229907799064,-87.63937024274318
3200 w barry,41.93758325149841,-87.70762888534969
6200 w 63rd pl,41.77687152986305,-87.77650436081134
5600 w wabansia,41.911258790609324,-87.76562879060933
5200 n delphia,41.97417300000001,-87.8415784287031
3500 w pierce,41.90911348600597,-87.71448094463038
8000 s southshore dr,41.75009509696504,-87.54806879544078
1500 s harding ave,41.8605554074384,-87.723840801027
600 e 95th st,41.7220004787926,-87.60913102553522
1800 n orchard,41.91391995109596,-87.64603224865076
800 e 80th,41.74952118472071,-87.60512855050915
6000 n oakley,41.99060916312143,-87.6872925403964
8700 s exchange,41.73720271717932,-87.55281730492213
800 n state st,41.896910451295476,-87.62825986984238
2800 n campbell ave,41.932411994171616,-87.69039091369946
2900 w diversey,41.93209948600597,-87.70026344892953
2100 w estes,42.01120647879261,-87.68420383389116
800 n wabash av,41.896765472678304,-87.6268897124094
1400 w hirsch,41.9066195315661,-87.68964655877183
1600 n leavitt,41.91042825055477,-87.68240995645887
11200 s langley,41.69091983411661,-87.60599702490595
1200 w 97th st,41.71818970770758,-87.65292239635534
4100 w madison,41.880712533758214,-87.72832277699231
4600 s harding,41.809561491257426,-87.72246830102699
2900 n broadway,41.93489881853553,-87.64429987708544
1300 s wabash,41.86558699417162,-87.6258088815278
500 w wrightwood,41.93070558275762,-87.64153081164154
6500 s harvard,41.776407220093496,-87.63338030824033
4400 s california,41.81359340743839,-87.69441080102699
4500 s fairfield,41.81177582653356,-87.693137301027
2 n canal,41.882220548586616,-87.63977409590048
8400 s escanaba,41.74266583236195,-87.55395829381365
1000 e 80th street,41.74958259762867,-87.60019490237131
3300 w hollywood,41.98492278275377,-87.7114319479753
200 w montrose harbor dr,41.96368503295729,-87.63818972786105
400 e chicago av,41.8969384751138,-87.61717053359224
2900 n mildred,41.93474346572219,-87.6515378487792
4900 n california,41.97079126407475,-87.69881244203894
1000 n sacramento,41.899303607119855,-87.70176958256485
6500 w 64th st,41.7758124532574,-87.78380327699232
400 n lasalle,41.88962713627447,-87.63257688152781
1500 n cleveland,41.90933705245544,-87.64098943591647
100 e 18th st,41.85795172680547,-87.62384677319453
1400 w carroll ave,41.88747447879261,-87.6629517799065
2000 w granville,41.99430984242996,-87.67999491321304
100 n lacrosse,41.88317521411985,-87.74661246135983
800 w newport,41.9445666598664,-87.64947147009134
2500 s dearborn,41.846102664723865,-87.62816789927273
4200 s ellis ave,41.81786907799064,-87.60188988874117
1 e 107th st,41.6998034612891,-87.6232349612891
2300 w rosemont,41.99601132540754,-87.68745995198181
1900 n st louis,41.915576330087475,-87.71353187845426
5300 w grand,41.91746921622702,-87.75866887593054
3900 n albany ave,41.95229316180968,-87.70556091038124
300 w divison st,41.90382550822297,-87.6362215284494
7000 n clark st,42.00939476741304,-87.67409929949778
2300 n monticello av,41.922898910352586,-87.71818040316789
8700 s manistee,41.73715766472387,-87.55698731213549
2100 w fulton,41.88676648600597,-87.67948461226842
1500 e 90h st,41.88085038026897,-87.6278138903051
2900 w 44th st,41.81376054449761,-87.69690127459347
5300 n kedzie,41.977736413266776,-87.70875846145171
2700 w north av,41.91026952986305,-87.69472127699233
3500 n clark st,41.945708138207685,-87.65535951820627
5100 n clark st,41.97471981043339,-87.66828628368607
1400 w warner,41.9570895004327,-87.66452186081135
6100 n kedzie,41.99258306691103,-87.70925680075592
600 w oakdale av,41.93560352559519,-87.64434061199822
2800 n christiana,41.932054130352114,-87.71113004078029
6000 s kildare,41.7839037171793,-87.7302793265622
2600 w montgomery,41.818638529049146,-87.68974180059948
1 e harrison st,41.874287632948366,-87.62752191701857
2200 w birchwood,42.01751965213271,-87.68759021069704
2100 w cornelia,41.945070690852226,-87.68098044188129
5400 s hermitage,41.795666329447755,-87.6683098265622
6000 n hermitage,41.991409658198585,-87.67336103142273
8200 s paulina,41.7446624074384,-87.66577730102699
1500 e 67th st,41.773331460470736,-87.58860316763806
4100 w belden,41.9226786515716,-87.72924292680682
5300 s blackstone av,41.79919500000001,-87.59048734488407
5600 s fairfield,41.79174165889549,-87.69256677549177
2100 n kilpatrick,41.918844359337285,-87.74381135933727
1500 w 17th st,41.858777460470755,-87.66392441909515
1600 n milwaukee,41.910719941427736,-87.6780461096427
600 w diversey av,41.93284451543634,-87.64381197016561
4300 n monticello,41.95937599417161,-87.71923993591646
1300 n paulina st,41.90567640707828,-87.67006180311449
2700 w ogden sd,41.862330526688396,-87.69339373141729
2800 w 65th st,41.77559030868847,-87.69339232936909
2900 s normal ave,41.84164699417161,-87.63909035209744
1000 n dearborn st,41.900635765344894,-87.62994042933609
1800 s canalport,41.857426212865406,-87.64052919570221
1200 w gunnison st,41.97029706942881,-87.6597635814489
4400 n clarendon,41.961878715565575,-87.64994487764099
600 s st louis,41.8735474163871,-87.71330358673643
8300 s wood,41.74295856244356,-87.6681562732025
700 w 97th st,41.717919402364004,-87.64077268728414
5300 s dorchester av,41.799257329447755,-87.59180986984238
6500 s oakley,41.77544396863641,-87.6810198593108
1500 w augusta boulevard,41.899776442148884,-87.66506138926077
11700 s wallace,41.68182134311991,-87.63727704990767
1500 n dearborn,41.909588161809694,-87.63018041427637
6700 n greenview,42.00363139642758,-87.66815928389616
2300 w sunnyside,41.963172504327844,-87.68650363780367
1300 w 79th st,41.75054559877345,-87.65544159877344
800 e 79th st,41.7513665925961,-87.60515599013618
7400 s yates,41.76060199417162,-87.56643882656219
2900 w lawrence,41.96853548658289,-87.7023135
4900 w parker ave,41.93060345325739,-87.74923427699233
900 w keystone,41.897312413266775,-87.72740841038124
5500 s laflin,41.793637620317995,-87.66218933127209
5700 s kedzie,41.78974488481737,-87.70349082656222
1200 s wabash,41.86725305245543,-87.62586941427637
5200 s lake park,41.80076900499166,-87.587496430665
1 s jefferson,41.881786869192794,-87.64259295872822
3000 w grace,41.950381837546296,-87.70306083754629
4600 s springfield,41.809597878989,-87.72124880102699
6600 s troy,41.7734415134574,-87.7018162225474
5300 s lake park av,41.79955602417892,-87.58779982988042
6600 s ellis,41.774954639216105,-87.60098136078388
300 e randolph,41.88452347215618,-87.61982255398462
1 n lorel,41.88038831119713,-87.75866460064539
1000 s laflin st,41.86925540094261,-87.66414660548047
3100 n kilpatrick,41.937219,-87.74440941038124
2800 w lyndale st,41.92247280405352,-87.69743130405351
200 n clark,41.885894105318386,-87.63102909888808
1200 n spaulding,41.9028407079664,-87.70927998490559
2400 s wentworth av,41.84903498834325,-87.63195778991846
1000 w montrose,41.961698531738975,-87.65846300138494
1800 w oakdale,41.93514481925493,-87.67424025
1500 n milwaukee av,41.908956300528146,-87.67534611184618
4100 s michigan ave,41.82007049900473,-87.62317420683857
1300 w 48th st,41.806939665910136,-87.65769166591015
500 w belden,41.92375148932421,-87.64172099999998
500 w hawthorne place,41.944785231230675,-87.64173921899695
8200 s marshfield,41.744726245628726,-87.66454685209743
3700 s western ave,41.8263380158905,-87.68497889653248
5400 n oakview,41.97557178425482,-87.84399935877256
1900 w division,41.90324150432782,-87.67498117055227
3700 n clifton,41.94902842990903,-87.65753925266138
3500 w north ave,41.91005052264968,-87.71420194463039
10000 w ohare,41.96637000000004,-87.84857999999996
1600 e 50th pl,41.80348432895354,-87.58638501589779
200 s canal,41.87926326761893,-87.63964396850433
7500 s union,41.757785077990654,-87.64179829381365
5500 s sayre,41.79200745786781,-87.79648613160387
2400 n lincoln av,41.92575897279135,-87.64926048892015
2100 n lincoln ave,41.92009318918681,-87.64141576127474
1800 s ashland av,41.857714485408366,-87.66623152982037
700 w scott st,41.9050967222376,-87.64558788343412
7300 s campbell,41.76086282653355,-87.6856292682784
4000 w lawrence,41.968301433038825,-87.72812977732184
3000 n pulaski rd,41.93561680099833,-87.7271003776327
5400 s aberdeen,41.795864161809675,-87.65252735209744
1500 w 81st,41.746809436144055,-87.66100472208782
400 n may,41.889010500000026,-87.65580035964031
3000 n seminary,41.93630208617607,-87.65645058300676
2800 s troy,41.840843639876944,-87.70374786012306
6300 s greenwood,41.78024130391253,-87.59920083767072
7900 s evans,41.751194638976976,-87.60648936102301
2300 w leland av,41.96663453231589,-87.688161
900 w 82nd st,41.74521521071158,-87.64639434888106
400 n new st,41.889547472744496,-87.61869071248009
4700 s winchester ave,41.80845142653647,-87.67352913290254
5700 s columbia,42.0043322217643,-87.70740015415586
1 e huron st,41.894837466818736,-87.62795966472387
1200 n dearborn parkway,41.90414396863639,-87.63003836320593
1600 n division st,41.5022996364853,-87.66466086351471
1300 n milwaukee av,41.90532498138968,-87.66957885388643
1400 w 71st pl,41.76407751154119,-87.65912202844942
7400 s stewart,41.75966582653356,-87.63455779381363
7400 n campbell,42.015882358364244,-87.69262835836426
1000 n ashland av,41.89976046928367,-87.66746360775274
1800 w cermak road,41.852259511541206,-87.6710925
400 n clark st,41.88935663336028,-87.63108935209743
3100 n damen,41.93778935915034,-87.67839035915031
5100 s maplewood,41.80101742646215,-87.68796513297377
500 w madison st,41.8818834865829,-87.64046019317327
6200 s artesian,41.780984639268645,-87.68493786073134
1100 w 57th,41.79062146967885,-87.65244129182285
900 n lawndale ave,41.89732348844514,-87.7188516971844
1 w chicago,41.89665652510252,-87.62836088773155
1200 w jarvis,42.01616163745163,-87.66296265870001
3200 n halsted st,41.9401868731606,-87.64929021331281
1400 w 62nd st,41.78138646047075,-87.6596216960875
300 e supeior,41.89587488198732,-87.61923625967745
7000 s racine,41.76670349125743,-87.6542102682784
7200 s coles,41.76494025754529,-87.56343506290008
4500 n lincoln av,41.963445975013045,-87.68520789788776
100 s columbus dr,41.881350359716755,-87.62093885971676
900 w van buren,41.87666346768411,-87.64991036081135
200 w randolph,41.884481522649686,-87.6342015
1300 n california blvd,41.904783,-87.69698885948219
3100 w 40th pl,41.820042427202026,-87.70208090022503
800 n dearborn st,41.89682713627445,-87.62979793591646
400 n kingsbury st,41.88911735434915,-87.63806012968583
1300 w randolph,41.88428153318127,-87.6589742514571
1300 w 98th pl,41.715048495271795,-87.65528059236267
2400 n albany ave,41.924789715845925,-87.70466487795873
1800 s damen,41.8576089991445,-87.6760531923963
8400 s euclid ave,41.742369387731536,-87.57704779381363
1000 s canal,41.86968762108121,-87.63934733053568
6500 s lowe,41.77608674564282,-87.64082693149544
9200 s yates av,41.727923245628716,-87.5657897682784
2500 s spaulding av,41.84616554954125,-87.70755882656219
5600 s marshfield,41.79206582653356,-87.66581083377558
6300 s california,41.77905550483101,-87.69347112725643
8000 s cottage grove,41.749216658895506,-87.60522874274321
1400 w morse,42.00792446436589,-87.66603291771018
3700 e 106th st,41.702760511541186,-87.53389200000002
2300 w 22nd pl,41.85122760897213,-87.68324830053653
1 w hubbard st,41.88999079071561,-87.62810831669151
700 s kedzie ave,41.872642459893825,-87.70594822052618
2100 w balmoral,41.97970274161879,-87.6820334747869
1200 w north shore ave,42.00358990153148,-87.66092290153149
1 w division,41.903916539529256,-87.62889150000002
600 e 90th,41.731109453257375,-87.60937091909516
6400 n western av,41.99779101620079,-87.6899206836389
800 n mozart st,41.89573141501847,-87.69802929551906
2200 w 65th st,41.7757108275459,-87.67756689543509
1900 w chicago av,41.89604766180336,-87.67468935489912
1600 s halsted st,41.859637407438406,-87.6467208593108
11200 s halsted st,41.69036624562872,-87.64240977549177
8700 s clyde,41.73702711911317,-87.57332731852392
500 n avers,41.889944292024964,-87.72230241625229
8500 s cottage grove,41.74021291586722,-87.60498460859556
2200 w 24th st,41.848554500407076,-87.68070589724545
1 e cedar,41.902282027909905,-87.6282921091268
6400 n washtenaw,41.99765508563103,-87.69728358241724
9400 s hamilton,41.72270223980033,-87.67609924274319
6200 s fairfield,41.780825884817375,-87.69224885209744
200 s damen,41.87866025099557,-87.67663845143282
6500 n damen,41.999736358529674,-87.68024885852967
400 n avers,41.888251026920216,-87.7222398593108
100 w 87th,41.736359950132496,-87.62674684366378
2500 n cannon dr,41.927187414854394,-87.63451806651037
1300 s michigan,41.865641748542906,-87.62413892538488
11600 s artesian,41.68264050326605,-87.68214221393455
2900 n lamon,41.93340635919507,-87.7492113591951
5200 n spaulding,41.97579417241817,-87.71117049966665
2600 w 100 st,41.711868101987356,-87.68755758457411
1900 w augusta blvd,41.8996656157,-87.67478390708484
1900 w harrison,41.8741500646436,-87.67410486418837
7300 s halsted,41.761393575076454,-87.64434881934885
400 n orleans,41.88936516180968,-87.63698738095087
2400 w jarvis,42.015989542584364,-87.6903236653803
6200 s sacramento,41.78072624562873,-87.6983473265622
5000 n washtenaw,41.972526000000016,-87.69641096087477
1800 n damen,41.91438797056964,-87.67757841759462
6200 s halsted st,41.781357136274465,-87.64486835209743
